"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 12, 0, 0, 12
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", -3, -1, -1, -5
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\home_screen.dart", "Dart", 0, -29, 1, -28
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\original_core_home.dart", "Dart", -1, 0, 1, 0
"d:\Flutter_projects\technozia\lib\screens\member-screens\home_screen.dart", "Dart", 25, 0, 4, 29
"d:\Flutter_projects\technozia\lib\screens\member-screens\member_proflie_screen.dart", "Dart", 196, 3, 8, 207
"d:\Flutter_projects\technozia\lib\screens\member-screens\original_member_home.dart", "Dart", 274, 2, 8, 284
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", -1, 0, 0, -1
"Total", "-", 502, -25, 21, 498
