"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, -8, 132, 0, 124
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 16, 0, 0, 16
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 27, 7, 0, 34
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 36, 139, 0, 176
