"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 89, 0, 0, 89
"Total", "-", 89, 0, 0, 89
