"filename", "language", "JavaScript", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 6, 0, 0, 6
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 0, 112, 0, 9, 121
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\view_users_screen.dart", "Dart", 0, 135, 1, 0, 136
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 28, 0, 1, 29
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 8, 0, 0, 1, 9
"Total", "-", 8, 284, 1, 11, 304
