"filename", "language", "YAML", "Dart", "Markdown", "JavaScript", "JSON", "C++", "HTML", "Swift", "XML", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"d:\Flutter_projects\technozia\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Flutter_projects\technozia\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Flutter_projects\technozia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 4, 13
"d:\Flutter_projects\technozia\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Flutter_projects\technozia\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Flutter_projects\technozia\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Flutter_projects\technozia\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 13, 96
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Flutter_projects\technozia\server\middlewares\auth.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Flutter_projects\technozia\server\models\user.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 44
"d:\Flutter_projects\technozia\server\package-lock.json", "JSON", 0, 0, 0, 0, 2258, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2259
"d:\Flutter_projects\technozia\server\package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Flutter_projects\technozia\server\routes\auth.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 81
